actual_dataset,n_estimators,max_samples,contamination,max_features,AUC_ROC
path_input_fan_id_06,100.0,128.0,0.172,0.5,0.2939434166404493
path_input_fan_id_06,100.0,128.0,0.172,0.5,0.293789949432555
path_input_fan_id_06,100.0,128.0,0.172,0.5,0.2947874862838682
path_input_fan_id_06,100.0,128.0,0.172,0.5,0.2941045572087384
path_input_fan_id_06,100.0,128.0,0.172,0.5,0.2946723858779475
path_input_fan_id_06,100.0,128.0,0.172,0.5,0.2932528142049247
path_input_fan_id_06,100.0,128.0,0.172,0.5,0.2936671756662395
path_input_fan_id_06,100.0,128.0,0.172,0.5,0.2942810444978169
path_input_fan_id_06,100.0,128.0,0.172,0.5,0.2943194112997905
path_input_fan_id_06,100.0,128.0,0.172,0.5,0.29435777810176406
