,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,actual_dataset,n_estimators,max_samples,contamination,max_features,bootstrap,n_jobs,random_state,verbose,warm_start,AUC_ROC
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,path_input_fan_id_06,200.0,128.0,0.172,1.0,0.0,3.0,,0.0,0.0,
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,0.293598115422687
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,path_input_fan_id_06,200.0,128.0,0.172,1.0,0.0,3.0,,0.0,0.0,
3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,0.2936288088642659
4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,path_input_fan_id_06,200.0,128.0,0.172,1.0,0.0,3.0,,0.0,0.0,
5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,0.2936748490266342
6,6.0,6.0,6.0,6.0,6.0,6.0,,,,path_input_fan_id_06,200.0,128.0,0.172,1.0,0.0,3.0,,0.0,0.0,
7,7.0,7.0,7.0,7.0,7.0,7.0,,,,,,,,,,,,,,0.29365182894545
8,8.0,8.0,8.0,8.0,8.0,,,,,path_input_fan_id_06,200.0,128.0,0.172,1.0,0.0,3.0,,0.0,0.0,
9,9.0,9.0,9.0,9.0,9.0,,,,,,,,,,,,,,,0.2936057887830817
10,10.0,10.0,10.0,10.0,,,,,,path_input_fan_id_06,200.0,128.0,0.172,1.0,0.0,3.0,,0.0,0.0,
11,11.0,11.0,11.0,11.0,,,,,,,,,,,,,,,,0.2936825223870289
12,12.0,12.0,12.0,,,,,,,path_input_fan_id_06,200.0,128.0,0.172,1.0,0.0,3.0,,0.0,0.0,
13,13.0,13.0,13.0,,,,,,,,,,,,,,,,,0.293705542468213
14,14.0,14.0,,,,,,,,path_input_fan_id_06,200.0,128.0,0.172,1.0,0.0,3.0,,0.0,0.0,
15,15.0,15.0,,,,,,,,,,,,,,,,,,0.2936441555850553
16,16.0,,,,,,,,,path_input_fan_id_06,200.0,128.0,0.172,1.0,0.0,3.0,,0.0,0.0,
17,17.0,,,,,,,,,,,,,,,,,,,0.2936134621434764
18,,,,,,,,,,path_input_fan_id_06,200.0,128.0,0.172,1.0,0.0,3.0,,0.0,0.0,
19,,,,,,,,,,,,,,,,,,,,0.2936288088642659
