actual_dataset,parameters_names,n_estimators,max_samples,contamination,max_features,fit_execution_time,auc_execution_time,execution_time,ACC,Precision,Recall,F1_Score,AUC_ROC
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-256.0_max_features-1.0,5.0,256.0,0.1,1.0,13.38041877746582,59.16938042640686,72.54979920387268,0.5637119113573407,0.5396551724137931,0.8670360110803325,0.665249734325186,0.6290390650777695
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-256.0_max_features-1.0,5.0,256.0,0.1,1.0,13.436105489730837,59.58281421661377,73.0189197063446,0.5734072022160664,0.5449915110356537,0.889196675900277,0.6757894736842106,0.6524236308806716
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-256.0_max_features-1.0,5.0,256.0,0.1,1.0,13.42583703994751,64.02934050559998,77.45517754554749,0.5664819944598338,0.5434782608695652,0.8310249307479224,0.6571741511500547,0.6526461583321185
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-256.0_max_features-1.0,5.0,256.0,0.1,1.0,16.59965419769287,58.95043754577637,75.55009174346924,0.53601108033241,0.5221088435374149,0.850415512465374,0.6469968387776607,0.5630596757237898
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-256.0_max_features-1.0,5.0,256.0,0.1,1.0,13.276729106903076,59.26407599449158,72.54080510139465,0.5581717451523546,0.5363321799307958,0.8587257617728532,0.6602768903088392,0.5922875054672693
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-256.0_max_features-1.0,5.0,256.0,0.1,1.0,13.401516914367676,59.17192029953003,72.5734372138977,0.6689750692520776,0.6260330578512396,0.8393351800554016,0.7171597633136095,0.787973542253359
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-256.0_max_features-1.0,5.0,256.0,0.1,1.0,13.43277096748352,59.1548388004303,72.58760976791382,0.5554016620498615,0.5343642611683849,0.8614958448753463,0.6595970307529163,0.6485524205615365
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-256.0_max_features-1.0,5.0,256.0,0.1,1.0,13.400890588760376,59.1559796333313,72.55687022209167,0.6537396121883656,0.6065259117082533,0.8753462603878116,0.7165532879818594,0.7469939610653693
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-256.0_max_features-1.0,5.0,256.0,0.1,1.0,13.433324098587036,59.09871697425842,72.53204107284546,0.5664819944598338,0.540133779264214,0.8947368421052632,0.6736183524504691,0.7220363563815502
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-256.0_max_features-1.0,5.0,256.0,0.1,1.0,13.474544525146484,59.13315415382385,72.60769867897034,0.5249307479224377,0.5143312101910829,0.8947368421052632,0.6531850353892822,0.5880403004887931
