actual_dataset,parameters_names,n_estimators,max_samples,contamination,max_features,fit_execution_time,auc_execution_time,execution_time,AUC_ROC
path_input_fan_id_06,n_estimator-50.0_contamination-0.1_max_samples-256.0_max_features-0.3,50.0,256.0,0.1,0.3,69.17028021812439,42.35077500343323,111.52105522155762,0.3404823474344119
path_input_fan_id_06,n_estimator-50.0_contamination-0.1_max_samples-256.0_max_features-0.3,50.0,256.0,0.1,0.3,69.52662444114685,42.134008169174194,111.66063261032104,0.3350726283561359
path_input_fan_id_06,n_estimator-50.0_contamination-0.1_max_samples-256.0_max_features-0.3,50.0,256.0,0.1,0.3,68.71640682220459,41.59865975379944,110.31506657600404,0.3337451370078498
path_input_fan_id_06,n_estimator-50.0_contamination-0.1_max_samples-256.0_max_features-0.3,50.0,256.0,0.1,0.3,69.06353068351746,41.55961847305298,110.62314915657043,0.3371751291042886
path_input_fan_id_06,n_estimator-50.0_contamination-0.1_max_samples-256.0_max_features-0.3,50.0,256.0,0.1,0.3,69.46689176559448,41.7248170375824,111.19170880317688,0.3397226847553349
path_input_fan_id_06,n_estimator-50.0_contamination-0.1_max_samples-256.0_max_features-0.3,50.0,256.0,0.1,0.3,68.82543516159058,41.4432373046875,110.26867246627808,0.3375894905656034
path_input_fan_id_06,n_estimator-50.0_contamination-0.1_max_samples-256.0_max_features-0.3,50.0,256.0,0.1,0.3,68.93583941459656,41.50544738769531,110.44128680229188,0.3362006123341595
path_input_fan_id_06,n_estimator-50.0_contamination-0.1_max_samples-256.0_max_features-0.3,50.0,256.0,0.1,0.3,70.2678804397583,41.60053753852844,111.86841797828674,0.3358169443144236
path_input_fan_id_06,n_estimator-50.0_contamination-0.1_max_samples-256.0_max_features-0.3,50.0,256.0,0.1,0.3,69.54720759391785,41.50944709777832,111.05665469169617,0.3336146898811395
path_input_fan_id_06,n_estimator-50.0_contamination-0.1_max_samples-256.0_max_features-0.3,50.0,256.0,0.1,0.3,69.41435074806213,42.44695401191712,111.86130475997923,0.3411806232303313
path_input_fan_id_06,n_estimator-50.0_contamination-0.1_max_samples-256.0_max_features-0.3,50.0,256.0,0.1,0.3,69.15371108055115,42.46208810806274,111.61579918861388,0.3344127193621902
path_input_fan_id_06,n_estimator-50.0_contamination-0.1_max_samples-256.0_max_features-0.3,50.0,256.0,0.1,0.3,69.71203637123108,41.69395041465759,111.40598678588869,0.3367761143637633
path_input_fan_id_06,n_estimator-50.0_contamination-0.1_max_samples-256.0_max_features-0.3,50.0,256.0,0.1,0.3,69.90722513198853,42.58735203742981,112.49457716941832,0.3293329547808871
path_input_fan_id_06,n_estimator-50.0_contamination-0.1_max_samples-256.0_max_features-0.3,50.0,256.0,0.1,0.3,69.28940391540527,42.54608726501465,111.83549118041992,0.3438509526476929
path_input_fan_id_06,n_estimator-50.0_contamination-0.1_max_samples-256.0_max_features-0.3,50.0,256.0,0.1,0.3,69.57939743995667,42.57151699066162,112.15091443061829,0.338986042157442
path_input_fan_id_06,n_estimator-50.0_contamination-0.1_max_samples-256.0_max_features-0.3,50.0,256.0,0.1,0.3,69.31062817573547,42.25828385353088,111.56891202926636,0.3480713008647876
path_input_fan_id_06,n_estimator-50.0_contamination-0.1_max_samples-256.0_max_features-0.3,50.0,256.0,0.1,0.3,69.41399073600769,42.196690797805786,111.61068153381348,0.3338986042157442
path_input_fan_id_06,n_estimator-50.0_contamination-0.1_max_samples-256.0_max_features-0.3,50.0,256.0,0.1,0.3,69.71957087516785,41.83468389511109,111.55425477027892,0.3318037768279863
path_input_fan_id_06,n_estimator-50.0_contamination-0.1_max_samples-256.0_max_features-0.3,50.0,256.0,0.1,0.3,69.45284152030945,42.423927783966064,111.87676930427553,0.3342745988750853
path_input_fan_id_06,n_estimator-50.0_contamination-0.1_max_samples-256.0_max_features-0.3,50.0,256.0,0.1,0.3,69.74266576766968,42.05402326583862,111.7966890335083,0.3395001573038881
path_input_fan_id_06,n_estimator-50.0_contamination-0.1_max_samples-256.0_max_features-0.3,50.0,256.0,0.1,0.3,69.03063488006592,42.32060980796814,111.35124468803406,0.3342592521542959
path_input_fan_id_06,n_estimator-50.0_contamination-0.1_max_samples-256.0_max_features-0.3,50.0,256.0,0.1,0.3,69.39515471458435,42.33619022369385,111.7313449382782,0.340942749058095
path_input_fan_id_06,n_estimator-50.0_contamination-0.1_max_samples-256.0_max_features-0.3,50.0,256.0,0.1,0.3,69.42644000053406,41.646310806274414,111.07275080680849,0.3310748075904881
path_input_fan_id_06,n_estimator-50.0_contamination-0.1_max_samples-256.0_max_features-0.3,50.0,256.0,0.1,0.3,69.00623178482056,42.38351249694824,111.3897442817688,0.3330161677703516
path_input_fan_id_06,n_estimator-50.0_contamination-0.1_max_samples-256.0_max_features-0.3,50.0,256.0,0.1,0.3,69.45347356796265,42.24241662025452,111.69589018821716,0.3386791077416533
path_input_fan_id_06,n_estimator-50.0_contamination-0.1_max_samples-256.0_max_features-0.3,50.0,256.0,0.1,0.3,69.44583535194397,42.30458331108093,111.7504186630249,0.3365612602727112
path_input_fan_id_06,n_estimator-50.0_contamination-0.1_max_samples-256.0_max_features-0.3,50.0,256.0,0.1,0.3,70.26072311401367,42.344069957733154,112.60479307174684,0.3468589099224223
path_input_fan_id_06,n_estimator-50.0_contamination-0.1_max_samples-256.0_max_features-0.3,50.0,256.0,0.1,0.3,69.74723887443542,42.13614511489868,111.8833839893341,0.3319802641170647
path_input_fan_id_06,n_estimator-50.0_contamination-0.1_max_samples-256.0_max_features-0.3,50.0,256.0,0.1,0.3,69.1631338596344,42.32247757911682,111.48561143875122,0.3359934316035022
path_input_fan_id_06,n_estimator-50.0_contamination-0.1_max_samples-256.0_max_features-0.3,50.0,256.0,0.1,0.3,69.23228740692139,42.22640943527222,111.4586968421936,0.33649987338955345
