actual_dataset,parameters_names,n_estimators,max_samples,contamination,max_features,fit_execution_time,auc_execution_time,execution_time,ACC,Precision,Recall,F1_Score,AUC_ROC
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-256.0_max_features-0.5,5.0,256.0,0.1,0.5,18.187244176864624,56.4018280506134,74.58907222747803,0.518005540166205,0.5102685624012638,0.8947368421052632,0.6498993963782697,0.3855710131137729
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-256.0_max_features-0.5,5.0,256.0,0.1,0.5,18.44247603416443,56.44853115081787,74.8910071849823,0.5207756232686981,0.5115562403697997,0.9196675900277008,0.6574257425742575,0.3843778055723942
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-256.0_max_features-0.5,5.0,256.0,0.1,0.5,18.221917629241943,56.28910684585571,74.51102447509766,0.5207756232686981,0.5116640746500778,0.9113573407202216,0.6553784860557769,0.3849379608812087
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-256.0_max_features-0.5,5.0,256.0,0.1,0.5,18.26816749572754,56.24455285072327,74.5127203464508,0.5166204986149584,0.5091463414634146,0.925207756232687,0.6568338249754179,0.4053222427697761
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-256.0_max_features-0.5,5.0,256.0,0.1,0.5,18.1516695022583,56.62117910385132,74.77284860610962,0.5055401662049861,0.5031152647975078,0.8947368421052632,0.6440677966101694,0.3691960620314454
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-256.0_max_features-0.5,5.0,256.0,0.1,0.5,18.312806844711304,56.315741539001465,74.62854838371277,0.5373961218836565,0.5207373271889401,0.9390581717451524,0.6699604743083004,0.4068070380061541
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-256.0_max_features-0.5,5.0,256.0,0.1,0.5,18.229984521865845,56.28697538375855,74.51695990562439,0.5221606648199446,0.5121580547112462,0.9335180055401662,0.6614327772325809,0.3975414553295325
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-256.0_max_features-0.5,5.0,256.0,0.1,0.5,18.22257232666016,56.3034086227417,74.52598094940186,0.5069252077562327,0.5039123630672926,0.8919667590027701,0.6439999999999999,0.3973496213196645
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-256.0_max_features-0.5,5.0,256.0,0.1,0.5,18.300138473510746,56.36536765098572,74.66550612449646,0.5096952908587258,0.5054263565891473,0.9030470914127424,0.6481113320079522,0.3803914948473385
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-256.0_max_features-0.5,5.0,256.0,0.1,0.5,18.293192863464355,56.51704812049866,74.81024098396301,0.5193905817174516,0.5108359133126935,0.9141274238227147,0.6554121151936445,0.40247158938313854
