actual_dataset,parameters_names,n_estimators,max_samples,contamination,max_features,fit_execution_time,auc_execution_time,execution_time,AUC_ROC
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-128.0_max_features-0.8,30.0,128.0,0.1,0.8,122.9819495677948,72.00710439682007,194.98905396461487,0.2796556195854851
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-128.0_max_features-0.8,30.0,128.0,0.1,0.8,121.9092457294464,72.13787412643433,194.0471198558808,0.2852725193944183
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-128.0_max_features-0.8,30.0,128.0,0.1,0.8,121.60343670845032,72.1324417591095,193.7358784675598,0.2914342277913767
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-128.0_max_features-0.8,30.0,128.0,0.1,0.8,121.9975244998932,72.13133072853088,194.12885522842407,0.2857022275765226
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-128.0_max_features-0.8,30.0,128.0,0.1,0.8,122.63225245475768,72.18065214157104,194.8129045963288,0.2857559410992856
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-128.0_max_features-0.8,30.0,128.0,0.1,0.8,122.02991008758544,71.96830439567566,193.9982144832611,0.2908050122390098
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-128.0_max_features-0.8,30.0,128.0,0.1,0.8,121.76177787780762,71.90193367004395,193.6637115478516,0.2890171192670406
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-128.0_max_features-0.8,30.0,128.0,0.1,0.8,122.14754152297974,72.26180243492126,194.409343957901,0.2858863882259957
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-128.0_max_features-0.8,30.0,128.0,0.1,0.8,122.10825324058531,71.87297248840332,193.98122572898865,0.2794791322964066
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-128.0_max_features-0.8,30.0,128.0,0.1,0.8,121.50715327262878,72.11512446403503,193.62227773666385,0.2877433414415175
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-128.0_max_features-0.8,30.0,128.0,0.1,0.8,121.92209911346436,72.27573347091675,194.1978325843811,0.2958387366579446
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-128.0_max_features-0.8,30.0,128.0,0.1,0.8,121.69708561897278,72.0531735420227,193.75025916099548,0.2893624204848029
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-128.0_max_features-0.8,30.0,128.0,0.1,0.8,122.44757652282716,72.01313138008118,194.46070790290835,0.2866000107427046
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-128.0_max_features-0.8,30.0,128.0,0.1,0.8,121.78992438316344,72.16969323158264,193.9596176147461,0.2914649212329555
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-128.0_max_features-0.8,30.0,128.0,0.1,0.8,121.96355819702148,72.17713284492493,194.1406910419464,0.2896693549005916
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-128.0_max_features-0.8,30.0,128.0,0.1,0.8,121.7876660823822,72.0729398727417,193.8606059551239,0.2897844553065123
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-128.0_max_features-0.8,30.0,128.0,0.1,0.8,122.57868123054504,72.00727725028992,194.58595848083496,0.288080969298885
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-128.0_max_features-0.8,30.0,128.0,0.1,0.8,121.96563458442688,72.16741633415222,194.1330509185791,0.2894928676115131
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-128.0_max_features-0.8,30.0,128.0,0.1,0.8,121.95485258102416,72.91426157951355,194.8691141605377,0.2872829398178344
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-128.0_max_features-0.8,30.0,128.0,0.1,0.8,122.58295941352844,71.99113917350769,194.57409858703613,0.2783434749579883
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-128.0_max_features-0.8,30.0,128.0,0.1,0.8,122.36012005805968,72.03936624526978,194.39948630332947,0.2859861419111271
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-128.0_max_features-0.8,30.0,128.0,0.1,0.8,121.983074426651,72.35660219192505,194.33967661857605,0.2852418259528395
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-128.0_max_features-0.8,30.0,128.0,0.1,0.8,122.39584422111513,72.23904514312744,194.63488936424253,0.2888022651759885
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-128.0_max_features-0.8,30.0,128.0,0.1,0.8,122.17510056495668,72.38415670394897,194.55925726890564,0.2861703025606003
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-128.0_max_features-0.8,30.0,128.0,0.1,0.8,122.16459608078004,72.18904066085815,194.35363674163816,0.2924317646426899
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-128.0_max_features-0.8,30.0,128.0,0.1,0.8,121.95897221565248,72.1298131942749,194.08878540992737,0.2888713254195409
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-128.0_max_features-0.8,30.0,128.0,0.1,0.8,122.10393929481506,72.15690016746521,194.26083946228027,0.2915953683596657
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-128.0_max_features-0.8,30.0,128.0,0.1,0.8,122.41567659378052,72.04880547523499,194.4644820690155,0.2875591807920443
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-128.0_max_features-0.8,30.0,128.0,0.1,0.8,121.74699997901917,71.96675157546997,193.71375155448916,0.2846970173648145
path_input_fan_id_06,n_estimator-30.0_contamination-0.1_max_samples-128.0_max_features-0.8,30.0,128.0,0.1,0.8,121.91081762313843,72.09362578392029,194.00444340705872,0.2869606586812563
