actual_dataset,parameters_names,n_estimators,max_samples,contamination,max_features,fit_execution_time,auc_execution_time,execution_time,ACC,Precision,Recall,F1_Score,AUC_ROC
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-256.0_max_features-1.0,5.0,256.0,0.1,1.0,27.735300540924072,33.828258991241455,61.56355953216553,1.0,1.0,1.0,1.0,0.9917281174944942
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-256.0_max_features-1.0,5.0,256.0,0.1,1.0,27.83948874473572,33.37771224975586,61.21720099449158,0.9090909090909092,1.0,0.7777777777777778,0.8750000000000001,0.9916628939311394
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-256.0_max_features-1.0,5.0,256.0,0.1,1.0,27.57477903366089,33.570919036865234,61.14569807052612,0.9090909090909092,1.0,0.8,0.888888888888889,0.9549842312443888
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-256.0_max_features-1.0,5.0,256.0,0.1,1.0,27.622665643692017,33.48246240615845,61.105128049850464,0.9545454545454546,1.0,0.9166666666666666,0.9565217391304348,0.9775976243276218
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-256.0_max_features-1.0,5.0,256.0,0.1,1.0,27.748292446136475,33.40634250640869,61.154634952545166,0.9545454545454546,1.0,0.9230769230769232,0.96,0.9874885858764127
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-256.0_max_features-1.0,5.0,256.0,0.1,1.0,27.67394709587097,33.36794948577881,61.04189658164978,0.8636363636363636,1.0,0.75,0.8571428571428571,0.9720382747216488
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-256.0_max_features-1.0,5.0,256.0,0.1,1.0,27.71040987968445,33.50797390937805,61.2183837890625,0.9545454545454546,1.0,0.9166666666666666,0.9565217391304348,0.9459373393390168
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-256.0_max_features-1.0,5.0,256.0,0.1,1.0,27.667304277420044,33.398842334747314,61.06614661216736,1.0,1.0,1.0,1.0,0.9867135764765465
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-256.0_max_features-1.0,5.0,256.0,0.1,1.0,27.60358500480652,33.4403772354126,61.04396224021912,1.0,1.0,1.0,1.0,0.99429101986633
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-256.0_max_features-1.0,5.0,256.0,0.1,1.0,27.68385982513428,34.42043328285217,62.10429310798645,0.9545454545454546,1.0,0.9285714285714286,0.962962962962963,0.9870934078160848
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-256.0_max_features-1.0,5.0,256.0,0.1,1.0,28.20018148422241,34.71550226211548,62.91568374633789,0.9090909090909092,1.0,0.8333333333333334,0.9090909090909092,0.9571826489974752
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-256.0_max_features-1.0,5.0,256.0,0.1,1.0,27.75102400779724,33.435707569122314,61.18673157691956,0.9545454545454546,0.9166666666666666,1.0,0.9565217391304348,0.9529239339784072
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-256.0_max_features-1.0,5.0,256.0,0.1,1.0,27.579996585845947,33.39983105659485,60.9798276424408,0.9545454545454546,1.0,0.9285714285714286,0.962962962962963,0.9792090300105124
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-256.0_max_features-1.0,5.0,256.0,0.1,1.0,27.77482438087464,33.44273090362549,61.21755528450012,0.9545454545454546,1.0,0.9285714285714286,0.962962962962963,0.9830342001672792
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-256.0_max_features-1.0,5.0,256.0,0.1,1.0,27.689662218093872,33.347365617752075,61.03702783584595,0.9545454545454546,1.0,0.9090909090909092,0.9523809523809524,0.99510439606817
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-256.0_max_features-1.0,5.0,256.0,0.1,1.0,27.82333397865296,33.45331859588623,61.27665257453919,0.8636363636363636,1.0,0.7857142857142857,0.88,0.989886510999762
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-256.0_max_features-1.0,5.0,256.0,0.1,1.0,27.689584493637085,34.311928510665894,62.00151300430298,1.0,1.0,1.0,1.0,0.9879873543020696
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-256.0_max_features-1.0,5.0,256.0,0.1,1.0,27.87055516242981,32.838420391082764,60.70897555351257,0.9090909090909092,1.0,0.8666666666666667,0.9285714285714286,0.967890823428304
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-256.0_max_features-1.0,5.0,256.0,0.1,1.0,27.71064257621765,33.61752724647522,61.32816982269287,0.8636363636363636,1.0,0.8125,0.896551724137931,0.98464560585017
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-256.0_max_features-1.0,5.0,256.0,0.1,1.0,27.8733332157135,33.43838024139404,61.31171345710754,0.9545454545454546,1.0,0.9090909090909092,0.9523809523809524,0.9958065085442868
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-256.0_max_features-1.0,5.0,256.0,0.1,1.0,28.050148248672485,33.503326177597046,61.55347442626953,1.0,1.0,1.0,1.0,0.9872814051457556
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-256.0_max_features-1.0,5.0,256.0,0.1,1.0,27.707045555114743,33.43829393386841,61.145339488983154,1.0,1.0,1.0,1.0,0.9587096477160244
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-256.0_max_features-1.0,5.0,256.0,0.1,1.0,27.74938941001892,33.34456443786621,61.09395384788513,0.9545454545454546,1.0,0.8888888888888888,0.9411764705882352,0.991275389231206
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-256.0_max_features-1.0,5.0,256.0,0.1,1.0,27.839145183563232,35.47708320617676,63.31622838973999,1.0,1.0,1.0,1.0,0.974006491662894
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-256.0_max_features-1.0,5.0,256.0,0.1,1.0,28.892406940460205,32.93905234336853,61.831459283828735,0.9523809523809524,1.0,0.9090909090909092,0.9523809523809524,0.9834178681870152
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-256.0_max_features-1.0,5.0,256.0,0.1,1.0,27.71154832839965,33.176302671432495,60.88785099983215,0.9523809523809524,1.0,0.9090909090909092,0.9523809523809524,0.9848873167026037
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-256.0_max_features-1.0,5.0,256.0,0.1,1.0,27.81327104568481,33.22027921676636,61.03355026245117,1.0,1.0,1.0,1.0,0.9829536298831348
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-256.0_max_features-1.0,5.0,256.0,0.1,1.0,27.62147426605225,33.1405291557312,60.76200342178345,0.8571428571428571,1.0,0.7857142857142857,0.88,0.9765617206743348
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-256.0_max_features-1.0,5.0,256.0,0.1,1.0,27.63525700569153,33.20352077484131,60.83877778053284,0.9523809523809524,1.0,0.8888888888888888,0.9411764705882352,0.9816261385348486
path_input_fan_id_06,n_estimator-5.0_contamination-0.1_max_samples-256.0_max_features-1.0,5.0,256.0,0.1,1.0,27.625543117523193,33.98180651664734,61.60734963417053,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.7407407407407408,0.9270608727680112
